6875,4678,4917,2702,6854,1360,33.33,83.33,58.33,66.67,33.33,50.0
2609,3683,9098,8764,10514,6135,66.67,83.33,75.0,25.0,25.0,50.0
10535,7475,10218,9525,772,9263,58.33,41.67,50.0,50.0,33.33,50.0
5672,5024,5912,10167,10611,6162,50.0,66.67,58.33,33.33,33.33,50.0
7022,8089,4940,4039,7058,4617,25.0,41.67,33.33,91.67,41.67,41.67
6854,6135,4917,4678,9098,10218,33.33,50.0,58.33,83.33,75.0,50.0
5912,7475,10611,10535,6162,6875,58.33,41.67,33.33,58.33,50.0,33.33
7022,8764,5024,9525,7058,3683,25.0,25.0,66.67,50.0,41.67,83.33
5672,1360,4039,8089,772,2609,50.0,50.0,91.67,41.67,33.33,66.67
9263,2702,10514,10167,4940,4617,50.0,66.67,25.0,33.33,33.33,41.67
5912,6135,4678,8764,7475,7058,58.33,50.0,83.33,25.0,41.67,41.67
10218,10611,1360,9525,4039,2609,50.0,33.33,50.0,50.0,91.67,66.67
5024,2702,10167,4617,6854,772,66.67,66.67,33.33,41.67,33.33,33.33
3683,9263,6875,7022,5672,10535,83.33,50.0,33.33,25.0,50.0,58.33
4940,10514,9098,8089,4917,6162,33.33,25.0,75.0,41.67,58.33,50.0
7058,772,10167,1360,4617,6135,41.67,33.33,33.33,50.0,41.67,50.0
9263,10535,6854,10611,7022,2702,50.0,58.33,33.33,33.33,25.0,66.67
4678,4940,6162,3683,5024,10218,83.33,33.33,50.0,83.33,66.67,50.0
8089,10514,5672,8764,5912,9525,41.67,25.0,50.0,25.0,58.33,50.0
9098,4039,4917,6875,2609,7475,75.0,91.67,58.33,33.33,66.67,41.67
1360,6162,9263,4940,10535,6135,50.0,50.0,50.0,33.33,58.33,50.0
5024,8764,8089,3683,4617,7022,66.67,25.0,41.67,83.33,41.67,25.0
7058,2702,9525,9098,10167,4678,41.67,66.67,50.0,75.0,33.33,83.33
7475,6854,772,10514,2609,10611,41.67,33.33,33.33,25.0,66.67,33.33
4917,10218,5672,5912,4039,6875,58.33,50.0,50.0,58.33,91.67,33.33
2702,8089,4617,1360,10167,8764,66.67,41.67,41.67,50.0,33.33,25.0
10535,3683,2609,10514,4678,7058,58.33,83.33,66.67,25.0,83.33,41.67
10611,9263,4039,4917,9525,5024,33.33,50.0,91.67,58.33,50.0,66.67
10218,6875,772,5912,6854,4940,50.0,33.33,33.33,58.33,33.33,33.33
6162,7022,9098,5672,6135,7475,50.0,25.0,75.0,50.0,50.0,41.67
4917,10611,7058,8089,10167,4039,58.33,33.33,41.67,41.67,33.33,91.67
9263,6875,8764,772,4678,4940,50.0,33.33,25.0,33.33,83.33,33.33
7475,1360,9525,6162,5672,3683,41.67,50.0,50.0,50.0,50.0,83.33
2609,7022,4617,10218,6135,2702,66.67,25.0,41.67,50.0,50.0,66.67
5024,9098,6854,10514,10535,5912,66.67,75.0,33.33,25.0,58.33,58.33
4678,1360,3683,7475,4940,4917,83.33,50.0,83.33,41.67,33.33,58.33
6135,7058,8089,2702,5672,772,50.0,41.67,41.67,66.67,50.0,33.33
10611,6875,10167,9525,9098,10535,33.33,33.33,33.33,50.0,75.0,58.33
4039,10218,8764,10514,7022,5912,91.67,50.0,25.0,25.0,25.0,58.33
6854,2609,6162,4617,5024,9263,33.33,66.67,50.0,41.67,66.67,50.0
10611,3683,4940,2702,7475,9098,33.33,83.33,33.33,66.67,41.67,75.0
772,1360,7022,10535,4917,8764,33.33,50.0,25.0,58.33,58.33,25.0
